date,time,type,cpuReal,cpuUser,cpuSystem,collectionPauseTime,youngSizeBefore,youngSizeAfter,youngSizeMax,totalSizeBefore,totalSizeAfter,totalSizeMax,youngSizeCollected,totalSizeCollected,promotedSize,tenuredSizeBefore,tenuredSizeAfter
13-11-06 12:50:24,6652.274,CMS_CONCURRENT_PRECLEAN,0.01,0.08,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:50:25,6653.86,CMS_CONCURRENT_ABORTABLE_PRECLEAN,1.59,4.8,0.06,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:50:27,6656.012,CMS_CONCURRENT_SWEEP,1.97,7.29,0.14,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:50:27,6656.039,CMS_CONCURRENT_RESET,0.03,0.08,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:57:56,7104.139,CMS_INITIAL_MARK,0.05,0.06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:57:57,7105.118,CMS_CONCURRENT_MARK,0.92,4.41,0.09,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:57:57,7105.134,CMS_CONCURRENT_PRECLEAN,0.02,0.07,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:57:58,7106.204,CMS_CONCURRENT_ABORTABLE_PRECLEAN,1.07,4.31,0.06,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:58:00,7108.201,CMS_CONCURRENT_SWEEP,1.73,7.76,0.19,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:58:00,7108.225,CMS_CONCURRENT_RESET,0.02,0.07,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
